FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26727315,POINT (16.398830036100627 48.21176624250476),2,Rustenschacherallee,# Sportklubstraße,2250,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727316,POINT (16.38604353270215 48.22686983459726),2,Taborstraße,95,1086,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727317,POINT (16.388488560750325 48.2271005466815),2,Nordbahnstraße ,12,1083,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727318,POINT (16.403148524687854 48.204434934106835),2,Friedensgasse,# Rustenschacherallee,2245,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727320,POINT (16.38366889946748 48.21801387210001),2,Odeongasse,# Große Mohrengasse,0269,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727322,POINT (16.411882848939456 48.19744213836895),2,Stadionallee ,ggü. 2,1074,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727323,POINT (16.38579577174129 48.225031814318385),2,Trunnerstraße,ggü. 5,0265,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727324,POINT (16.390391682944063 48.213950750263756),2,Untere Donaustraße ,# Waschhausgasse 1B,2247,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727325,POINT (16.402401513406442 48.202822215923504),2,Schüttelstraße,ggü. 83,2853,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727326,POINT (16.412444860980642 48.212831648474165),2,Trabrennstraße,4,2854,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727327,POINT (16.40045541235689 48.20338129709865),2,Paffrathgasse,# Schüttelstraße,2999,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727328,POINT (16.39007393271653 48.21845842136839),2,Heinestraße,ggü. 40,3438,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727329,POINT (16.38957419026972 48.22182123975873),2,Nordbahnstraße,42,3427,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727330,POINT (16.414134656199252 48.199023586054636),2,Stadionallee,# Klaschkaweg,3429,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727331,POINT (16.419594184283742 48.19890366748912),2,Lusthausstraße,1,1075,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727332,POINT (16.3844092519354 48.225672693252854),2,Trunnerstraße,# Taborstraße,2255,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727333,POINT (16.38574148470789 48.22304639204223),2,Volkertplatz,ggü 1,2256,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
