FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26727250,POINT (16.324779523485702 48.22249840804534),17,Rhigasgasse,# Comeniusgasse,0476,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727251,POINT (16.324804505030208 48.220104924429805),17,Hernalser Hauptstraße,111,2355,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727252,POINT (16.322483806743413 48.221206968973554),17,Hernalser Hauptstraße,130,2253,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727253,POINT (16.331057951270108 48.21939028496388),17,Rötzergasse,# Hormayrgasse,0477,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727254,POINT (16.32432080924257 48.220474945985366),17,Hernalser Hauptstraße,118,2352,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727255,POINT (16.32614305345347 48.219519447175),17,Hernalser Hauptstraße,99,2354,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727256,POINT (16.331699589602763 48.218246331056044),17,Elterleinplatz,13,2493,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727257,POINT (16.334461327985988 48.2216091332738),17,Dornerplatz,ggü. 7,0110,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727258,POINT (16.327868613018474 48.2156861944152),17,Parhamerplatz,6,490,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727259,POINT (16.324115523989654 48.216861509464174),17,Geblergasse,101,2270,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727260,POINT (16.327423804265518 48.216445080397186),17,Parhamerplatz,15,394,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727261,POINT (16.331180501955178 48.21833130464899),17,Elterleinplatz,11,2494,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727262,POINT (16.323656536798445 48.22059712940217),17,Hernalser Hauptstraße,119,2356,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727263,POINT (16.33396274067723 48.22090616252135),17,Dornerplatz,ggü. 2,0109,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727264,POINT (16.340111530870516 48.21402591621536),17,Hernalser Gürtel,ggü. 17,3180,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727265,POINT (16.337000654566232 48.21764130539625),17,Jörgerstraße,32,3181,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727266,POINT (16.332681363136352 48.22125477958453),17,Weidmanngasse,1,3197,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727267,POINT (16.331622099725937 48.217679846080934),17,Kindermanngasse,1,3209,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727268,POINT (16.337322631661543 48.21620729979651),17,Geblergasse,28,3212,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727269,POINT (16.339277766717665 48.21898100122608),17,Beheimgasse,1,3213,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727270,POINT (16.338759275600136 48.21773756889344),17,Ranftlgasse,1,3215,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727271,POINT (16.33160314758651 48.21758164852861),17,St.-Bartholomäus-Platz,5,2273,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727272,POINT (16.337219019640013 48.21699745296479),17,Palffygasse,23,3216,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727273,POINT (16.321983101906994 48.220006954690824),17,Sautergasse,7A,3230,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727274,POINT (16.32749351817225 48.21911306380524),17,Hernalser Hauptstraße,98,3530,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727275,POINT (16.325825819703137 48.22187836262518),17,Pezzlgasse,ggü 71-73,3207,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727276,POINT (16.337505703379822 48.215036939608936),17,Ottakringer Straße,30,3534,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727288,POINT (16.372078113815057 48.20782943584959),1,Singerstraße,2,170,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727289,POINT (16.374675471562306 48.208220941635346),1,Domgasse,1,299,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727290,POINT (16.372770737259668 48.2063121596082),1,Ballgasse,2,1061,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727291,POINT (16.36530853935001 48.21150543331147),1,Freyung,3-3A,195,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728174,POINT (16.34379798956673 48.21706546092113),9,Zimmermannplatz,ggü. 5,1201,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728175,POINT (16.315124828755728 48.16480721240032),12,Hetzendorfer Straße,ggü. 51,1026,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728176,POINT (16.29924240657922 48.17142114473595),12,Klimtgasse,12,3606,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728177,POINT (16.458692439403066 48.25206754488119),22,Senkowitschgasse,Ende der Sackgasse,3586,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728178,POINT (16.28124613611291 48.1545112936701),23,Alfons-Petzold-Gasse,47,3699,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728179,POINT (16.333073038564827 48.18694288886528),15,Graumanngasse ,33 # Künstlergasse,3304,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728180,POINT (16.33810274450809 48.219290456509206),17,Syringgasse,6-14,3114,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728181,POINT (16.330235374510686 48.204463039068266),15,Markgraf-Rüdiger-Straße,ggü. 29,1023,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728182,POINT (16.31699970861807 48.250456161748666),19,Patzakweg,# Ahrengruberweg,3563,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728183,POINT (16.326613898948168 48.188886624750644),15,Ölweingasse,# Braunhirschengasse,1420,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728184,POINT (16.351391786649422 48.21842614009554),9,Spitalgasse,21A,2514,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728185,POINT (16.31915099527913 48.194274104022625),15,Goldschlagstraße,93 # Wieningerplatz,0325,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728186,POINT (16.351657038765268 48.224875595115904),9,Altmüttergasse,1,1198,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728187,POINT (16.364739698812524 48.2270765690977),9,Spittelauer Lände,ggü. 1,2784,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728188,POINT (16.32087522769689 48.19884100430337),15,Hütteldorferstraße,81B,0328,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728189,POINT (16.37908391869627 48.29755675499376),21,Helene-Richter-Gasse,6,3048,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728190,POINT (16.320560259515716 48.186067343851526),15,Linke Wienzeile,# Winckelmannstraße,2209,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728191,POINT (16.337423831139144 48.23943343279494),19,Telekygasse,14,0292,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728192,POINT (16.314848136629678 48.19652721083207),15,Flachgasse,# Märzstraße,0329,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728193,POINT (16.334632483664727 48.19495683824425),15,Gasgasse,# Zwölfergasse,3312,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728194,POINT (16.334214374116936 48.20107552402663),15,Hütteldorfer Straße,7-17,0322,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728195,POINT (16.41093708830814 48.30177515191154),21,Stammersdorfer Straße,ggü. 42,2533,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728196,POINT (16.330041873627568 48.23725591487376),19,Peter-Jordan-Straße,# Borkowskigasse,2326,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728197,POINT (16.36462457135015 48.217966200825316),9,Türkenstraße,25,1205,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728198,POINT (16.359496397990075 48.22176116645584),9,Fürstengasse,2,0260,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728199,POINT (16.416360382345285 48.30147491389209),21,Freiheitsplatz,# Stammersdorfer Straße,2532,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728200,POINT (16.3566679178531 48.22811653095223),9,Salzergasse,44,3363,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728201,POINT (16.32001502414292 48.2411253739122),19,Wildbrandtgasse,ggü. 19,1240,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728202,POINT (16.315630792770918 48.20411023087577),15,Mareschplatz,ggü. 5,2624,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728203,POINT (16.32756408523725 48.18896065099593),15,Grimmgasse,27,2210,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728204,POINT (16.361600872488875 48.22308039033869),9,Seegasse,1,2977,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728205,POINT (16.322739052957484 48.187180155805336),15,Weiglgasse,8-10,1018,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728206,POINT (16.381191117336297 48.293770166566),21,Mayerweckstraße,# Meriangasse,2822,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728207,POINT (16.365910919128822 48.219092372538285),9,Berggasse,33,3369,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728208,POINT (16.363207228388667 48.22110792282844),9,Müllnergasse,17,1092,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728209,POINT (16.350121512374212 48.227154999813216),9,Währinger Gürtel,ggü. 120,2785,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728210,POINT (16.309542961075273 48.257136714739296),19,Spießweg,# Sieveringerstraße 275,1239,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728211,POINT (16.37860864148943 48.27379351425138),21,Josef-Türk-Gasse,# Wildnergasse,2529,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728212,POINT (16.353669829284918 48.227237214668875),9,Sobieskigasse,13,0258,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728213,POINT (16.366781065837447 48.22483825804883),9,Schulz-Staßnitzki-Gasse,15,2974,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728214,POINT (16.3118559740696 48.23668721352933),18,Leschetitzkygasse,# Spitzergasse ggü. 30,3198,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728215,POINT (16.357551648664856 48.22598014525027),9,Salzergasse,2,3365,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728216,POINT (16.384972379000352 48.21333806247256),2,Ferdinandstraße,# Tempelgasse,2246,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728217,POINT (16.335492166630736 48.19889747615826),15,Goldschlagstraße,14-16,3301,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728218,POINT (16.360187177636153 48.227551238086704),9,Althanstraße,8,2686,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728219,POINT (16.35967877642144 48.21852414337826),9,Wasagasse,23,1206,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728220,POINT (16.327616367712977 48.245577669675015),19,Hackenberggasse,5,3626,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728221,POINT (16.353384636202993 48.23015627570076),9,Ayrenhoffgasse,5,1176,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728222,POINT (16.326093714634915 48.24617738169377),19,Hackenberggasse,25,2695,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728223,POINT (16.33814079700055 48.24116160391596),19,Saileräckergasse,6,2782,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728224,POINT (16.329969024349367 48.19727388977372),15,Benedikt-Schellinger-Gasse,12,1436,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728225,POINT (16.364203805472034 48.219062782719334),9,Servitengasse,2,0259,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728226,POINT (16.386465536462776 48.287549886267165),21,Berlagasse,2,3075,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728227,POINT (16.3434806751431 48.18693999676201),5,Margareten Gürtel,ggü. 144,2406,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728228,POINT (16.359129847991316 48.214021175733),1,Reichstatsstraße,# Universitätsstraße,1055,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728229,POINT (16.360794211281252 48.22140868574326),9,Porzellangasse,28,3366,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728230,POINT (16.32637543361875 48.2411314943036),19,Koschatgasse,22,2978,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728231,POINT (16.360791081235266 48.22189676530312),9,Porzellangasse,33A,3368,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731818,POINT (16.298326865193427 48.14761636314162),23,Riegermühle (Reiserin),,1527,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731819,POINT (16.34615913354133 48.183714792106855),5,Margaretengürtel ggü. 118,,903,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731820,POINT (16.404344500302212 48.2255946587906),2,Mexikoplatz (Hundezone),,1637,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731821,POINT (16.46226087457806 48.15699728962422),11,Leberberg 2/Svetelskystraße (Hundezone),,1567,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731822,POINT (16.41463729680233 48.170357926151276),11,Braunhuberpark,,1536,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731823,POINT (16.309890530640377 48.22074266622646),16,Kongresspark,,902,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731824,POINT (16.33495544945443 48.21322971026167),16,Yppenplatz,,819,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731825,POINT (16.333792848176717 48.20587226540749),16,Ludo-Hartmann-Platz,,995,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731826,POINT (16.39628313909058 48.21432585298723),2,Sportklubstraße,,1617,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731827,POINT (16.488284048373483 48.21197919210782),22,Heustadlpark/Sophie-Scholl-Gasse,,1624,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731828,POINT (16.407117737190664 48.25559637472332),21,Joseph-Samuel-Bloch-Park,,1639,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731829,POINT (16.38903076635294 48.26630273190453),21,Franz-Poly-Park,,1640,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731830,POINT (16.396943993390828 48.249888493554636),21,Wasserpark,,1638,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731831,POINT (16.390838109073048 48.168286912135294),10,Moselpark,,1642,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731832,POINT (16.408406622261026 48.16270572861103),10,"Löwygrube, Eingang Bitterlichstraße ggü 11",,1641,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731833,POINT (16.31594516504823 48.14041521002686),23,Carlberger Anlage,,1656,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731834,POINT (16.368111860241743 48.199658754422245),4,Rosa-Mayreder-Park,,1660,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731835,POINT (16.368440906245148 48.200473600398524),4,Rosa-Mayreder-Park,,1659,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731836,POINT (16.44150639690591 48.16128768579175),11,Neugebäudepark,,1657,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731837,POINT (16.430783414216204 48.168511913018435),11,Blériotpark,,932,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731838,POINT (16.438521209053874 48.23122467547764),22,Rehlackenwiese Lagerwiese (Hundezone),,1671,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731839,POINT (16.39436829900934 48.21923598854305),2,Venediger-Au-Park,,1594,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731840,POINT (16.45114027863405 48.22347273459847),22,Am Bahnhof Stadlau,,1622,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731841,POINT (16.368359717835528 48.23475884128938),20,Pappenheimgasse/Schneiderwiese,,1633,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731842,POINT (16.405583522597976 48.274665916852925),21,Ökopark (Hundezone),,1643,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731843,POINT (16.405853875524738 48.27448915632944),21,Ökopark (Hundezone),,1647,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731844,POINT (16.535444375728723 48.229974448529426),22,Kaschauerplatz,,1662,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731845,POINT (16.534216576908875 48.22863158630963),22,Kaschauerplatz,,1661,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731846,POINT (16.423656500110837 48.277633290607795),21,Pfendlerwiese,,1673,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731847,POINT (16.289445538854054 48.179820525720665),13,Parkanlage Küniglberg,,532,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731848,POINT (16.4168072812378 48.215660346314635),2,Offenbachgasse (Spielplatz),,521,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731849,POINT (16.370805104244177 48.2188441112036),2,Donaukanal /Augartenbrücke,,527,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731850,POINT (16.37294348798951 48.21752626483559),2,Donaukanal /U2 Schottentor,,528,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731851,POINT (16.418196585567298 48.21574578508549),2,Parkanlage Offenbachgasse,,1532,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731852,POINT (16.382737736601214 48.27825659738761),21,PA Schlossergasse,,865,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731853,POINT (16.38243039217275 48.16953258618799),10,Wieselburger Gasse,,807,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731854,POINT (16.367254428059645 48.20011434140967),4,Rosa-Mayreder-Park,,901,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731855,POINT (16.35810736655461 48.20678662171456),1,Grete-Rehor-Park,,502,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731856,POINT (16.39676960721537 48.20621240173653),3,Weißgerberlände/ Rotundenbrücke (Hundezone),,899,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731857,POINT (16.401389988119398 48.15164892012181),10,Kurpark Oberlaa/ Filmteichstraße Nordeingang,,944,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731858,POINT (16.398702986514525 48.149263334927326),10,Kurpark Oberlaa/ Restaurant/ Filmteichstraße 1,,943,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731859,POINT (16.406522706713027 48.15072475807107),10,Kurpark Oberlaa/ Panoramaschenke,,945,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26731860,POINT (16.397892828289 48.14694793608371),10,Kurpark Oberlaa/ Eingang Laaer-Berg-Straße,,942,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
